row_number,source,author,title,description,url,category,coverage
170,Time,ALANNA DURKIN RICHER / AP,Judge Cancels Court Deadlines in Trump’s 2020 Election Case After His Presidential Win,The judge overseeing Donald Trump's 2020 election interference case canceled any remaining court deadlines Friday after prosecutors said they need time to assess “the appropriate course going forward” after the Republican's presidential victory this week.,https://time.com/7174395/judge-cancels-court-deadlines-trump-2020-election-case/,Political Disputes and Controversies,Neutral
174,ABC News,"Mary Bruce, Will McDuffie, Molly Nagle",Harris: Trump 'capable of anything’ on interfering wIth election results,She spoke in an an exclusive interview with ABC's Mary Bruce.,https://abcnews.go.com/Politics/harris-trump-capable-interfering-election-results/story?id=115323208,Political Disputes and Controversies,Neutral
177,Time,Brian Bennett / New York City,Trump Rally at Madison Square Garden Marked by Racist and Lewd Jokes,"Comedian Tony Hinchcliffe made lewd sexual jokes about Latinos, called Puerto Rico an “island of garbage"" and made a watermelon joke about a Black Trump supporter",https://time.com/7099205/trump-rally-tony-hinchcliffe/,Political Disputes and Controversies,Neutral
189,Business Insider,"nmusumeci@businessinsider.com (Natalie Musumeci,Laura Italiano)",Trump still has 4 criminal indictments waiting for him — here's what happens if he wins or loses,"Not only is the presidency on the line for Donald Trump in the 2024 election, but so are the four criminal indictments against him.",https://www.businessinsider.com/donald-trump-election-criminal-cases-presidency-2024-11,Political Disputes and Controversies,Neutral
191,ABC News,Tal Axelrod,"Cheney keeps up fire on Trump over Jan. 6, bashes tariff policy","Former Rep. Liz Cheney, R-Wyo., a top GOP voice opposing Donald Trump, tore into the former president Tuesday over the Jan. 6, 2021, Capitol riot and his tariff policies.",https://abcnews.go.com/Politics/cheney-fire-trump-jan-6-bashes-tariff-policy/story?id=115027851,Political Disputes and Controversies,Neutral
192,ABC News,Alexandra Hutzler,Cheney slams Trump's violent rhetoric: 'This is how dictators destroy free nations',"Former Rep. Liz Cheney is firing back at Donald Trump after the former president darkly suggested she be put in the line of fire as he criticized her as a ""war hawk.""",https://abcnews.go.com/Politics/liz-cheney-hits-back-trumps-violent-rhetoric-dictators/story?id=115389921,Political Disputes and Controversies,Neutral
199,Buzzfeed,Ashley Holt,"""It Raises Real Questions About Whether You Are Fit For The Toughest Job In The World"": Kamala Harris Trolled Donald Trump After He Apparently Canceled These 6 Interviews","""It raises real questions about whether you are fit for the toughest job in the world.""View Entire Post ›",https://www.buzzfeed.com/ashleyholt1/6-appearances-donald-trump-canceled,Political Disputes and Controversies,Positive
203,ABC News,Kate Walter,Independent Senate candidate Osborn criticizes ‘two party doom loop’,"Over the past few weeks, independent Senate candidate Dan Osborn has shaken up what many thought was a predictable race in Nebraska.",https://abcnews.go.com/Politics/upended-senate-race-nebraska-independent-dan-osborn-seeks/story?id=115181900,Political Disputes and Controversies,Neutral
210,The Hill,Ashleigh Fields,CNN contributor takes back Cheney ‘firing squad’ quip: ‘I was wrong’,Political analyst Jonah Goldberg retracted comments made during a Friday CNN appearance in response to former President Trump’s criticism of former Rep. Liz ...,https://thehill.com/homenews/campaign/4966401-cnn-trump-cheney-firing-squad/,Political Disputes and Controversies,Neutral
213,ABC News,Tal Axelrod,"GOP Gov. Sununu: 'I don't like' Trump's rhetoric, but it's 'nothing new'","GOP Gov. Chris Sununu, a Donald Trump supporter, said he isn't a fan of the former president's rhetoric but that his language is already baked in as an issue for voters.",https://abcnews.go.com/Politics/gop-gov-sununu-trumps-rhetoric-new/story?id=114960034,Political Disputes and Controversies,Neutral
235,Al Jazeera English,Al Jazeera,Biden tries to end furore after seeming to call Trump supporters ‘garbage’,The outgoing president’s comments came as Democratic presidential candidate Kamala Harris made a major address.,https://www.aljazeera.com/news/2024/10/30/biden-tries-to-end-furore-after-seeming-to-call-trump-supporters-garbage,Political Disputes and Controversies,Neutral
245,Al Jazeera English,,Harris calls Trump ‘unhinged’ after reported comments about Hitler,Democratic presidential candidate Kamala Harris called Donald Trump ‘increasingly unhinged and unstable’.,https://www.aljazeera.com/program/newsfeed/2024/10/24/harris-calls-trump-unhinged-after-reported-comments-about-hitler,Political Disputes and Controversies,Neutral
264,Al Jazeera English,Al Jazeera,Fact check: Would Trump slash social security and Medicare?,Kamala Harris claims Donald Trump would allow medical insurance companies to deny coverage for pre-existing conditions.,https://www.aljazeera.com/news/2024/10/31/fact-check-would-trump-slash-social-security-and-medicare,Political Disputes and Controversies,Neutral
267,Al Jazeera English,Al Jazeera,Fact Check: Would Donald Trump force states to monitor women’s pregnancies?,Kamala Harris often claims that a Trump administration would interfere with pregnancies. But is that really true?,https://www.aljazeera.com/news/2024/11/5/fact-check-would-donald-trump-force-states-to-monitor-womens-pregnancies,Political Disputes and Controversies,Neutral
293,Al Jazeera English,Al Jazeera,Fact check: Does Donald Trump want to do away with the Affordable Care Act?,Kamala Harris’s campaign claims that he does.,https://www.aljazeera.com/features/2024/10/26/fact-check-does-donald-trump-want-to-do-away-with-the-affordable-care-act,Political Disputes and Controversies,Neutral
295,The Hill,Emily Brooks,Trump spurs backlash with Cheney guns ‘trained on her face’ remarks,Former President Trump is spurring backlash with his comments about former Rep. Liz Cheney (R-Wyo.) in which he described her having guns “trained on her...,https://thehill.com/homenews/campaign/4965649-trump-liz-cheney-guns-backlash/,Political Disputes and Controversies,Neutral
306,ABC News,Kiara Alfonseca,'Offensive' jokes at Trump MSG rally launch wave of criticism from Latinos,Comedian Tony Hinchcliffe came under fire for comments made about Latinos and Puerto Rico at former President Donald Trump’s Sunday campaign rally.,https://abcnews.go.com/US/offensive-latino-puerto-rico-jokes-trump-msg-rally/story?id=115213231,Political Disputes and Controversies,Negative
308,ABC News,"Justin Gomez, Michelle Stoddart",WH altered transcript of Biden 'garbage' comment despite stenographer concerns,"A Stenography Office email ABC News obtained called it a ""breach of protocol.""",https://abcnews.go.com/Politics/white-house-altered-transcript-biden-garbage-comment-despite/story?id=115402839,Political Disputes and Controversies,Neutral
309,Time,Kim Tong-hyung and Hyung-jin Kim / AP,North Korea Fires Multiple Missile Tests in Show of Force on U.S. Election Day,Tensions between the Koreas are at their highest point in years as Kim has repeatedly flaunted his expanding nuclear weapon and missile programs.,https://time.com/7172115/north-korea-missiles-us-election/,Political Disputes and Controversies,Neutral
318,Al Jazeera English,Ali Harb,How Republican-linked ads stir Israel tensions to undermine Kamala Harris,"Ad campaign focused on Gaza in key swing states invokes 'anti-Semitic and anti-Arab' bigotry, advocate says.",https://www.aljazeera.com/news/2024/10/23/how-republican-linked-ads-stir-israel-tensions-to-undermine-kamala-harris,Political Disputes and Controversies,Negative
320,Al Jazeera English,,"Cori Bush on Palestinian liberation, Kamala Harris and the pro-Israel lobby",Marc Lamont Hill talks with the US congresswoman about the November elections and Palestinian liberation.,https://www.aljazeera.com/program/upfront/2024/10/18/cori-bush-on-palestinian-liberation-kamala-harris-and-the-pro-israel-lobby,Political Disputes and Controversies,Negative
321,Al Jazeera English,Al Jazeera,Donald Trump sues CBS over ‘misleading’ interview with rival Kamala Harris,Lawsuit against 60 Minutes demands $10bn in damages and claims footage was edited.,https://www.aljazeera.com/news/2024/11/1/donald-trump-sues-cbs-over-misleading-interview-with-rival-kamala-harris,Political Disputes and Controversies,Neutral
329,ABC News,Soo Rin Kim,Trump campaign leaves some cities with thousands in unpaid bills after rallies,"Albuquerque officials say Trump now owes the city $444,986 over five years.",https://abcnews.go.com/Politics/trump-campaign-leaving-cities-hundreds-thousands-unpaid-bills/story?id=115415455,Political Disputes and Controversies,Positive
342,ABC News,Beatrice Peterson,DC warns of potential for violence and election uncertainty ahead of Jan. 6,"Federal and local law enforcement and officials in Washington, D.C. are preparing to ensure a safe and peaceful transfer of power on January 6 and Inauguration Day.",https://abcnews.go.com/Politics/dc-warns-potential-violence-election-uncertainty-ahead-jan/story?id=115031764,Political Disputes and Controversies,Neutral
343,ABC News,"Ivan Pereira, Alexander Mallin",Trump says he'll fire Jack Smith 'within 2 seconds' if he's elected,Former President Donald Trump's vendetta against Special Counsel Jack Smith and his federal probes continued on the campaign trail.,https://abcnews.go.com/Politics/trump-hell-fire-jack-smith-2-seconds-elected/story?id=115111108,Political Disputes and Controversies,Neutral
346,ABC News,Alexandra Hutzler,Why the winner of the 2024 presidential race might not be projected on election night,A historic and at times tumultuous presidential campaign will come to a close on Nov. 5. But the outcome may not be known on election night.,https://abcnews.go.com/Politics/winner-2024-presidential-race-called-election-night/story?id=115071994,Political Disputes and Controversies,Neutral
359,Business Insider,Palmer Haasch,'The Diplomat' season 2 finale completely shakes up Kate's bid for the vice presidency,"""The Diplomat"" season two ends a cliffhanger, as Kate puts together a conspiracy involving Roylin and Vice President Grace Penn.",https://www.businessinsider.com/the-diplomat-season-2-finale-ending-explained-kate-grace-vice-president,Political Disputes and Controversies,Negative
377,Al Jazeera English,,"Donald Trump targets Liz Cheney as he courts Arab, Muslim voters",Republican presidential candidate Donald Trump again attacked Republican ex-lawmaker Liz Cheney.,https://www.aljazeera.com/program/newsfeed/2024/11/2/donald-trump-targets-liz-cheney-as-he-courts-arab-muslim-voters,Political Disputes and Controversies,Neutral
378,Time,Maryclaire Dale / AP,Pennsylvania Judge Rules Elon Musk’s PAC Can Continue $1 Million-a-Day Voter Sweepstakes,"Elon Musk’s lawyers said the winners are paid spokespeople and not chosen by chance, and they defended the effort, calling it “core political speech.”",https://time.com/7172118/elon-musk-swing-state-million-dollar-sweepstakes-legality-judge-ruling/,Political Disputes and Controversies,Negative
387,Time,Philip Elliott,Matt Gaetz Nomination Confirms Trump’s Revenge Talk Wasn’t Bluster,Trump wants an attorney general who will exact revenge against his enemies. Gaetz has a reputation as a grudge-holding score settler.,https://time.com/7176545/matt-gaetz-attorney-general-trump/,Political Disputes and Controversies,Neutral
393,Business Insider,"ggoodwin@businessinsider.com (Grace Eliza Goodwin,John L. Dorman)",Biden's 'garbage' comment is a gift to Trump,The ex-president seized on a verbal gaffe from Biden as he continues to rally his supporters against Harris' 2024 candidacy.,https://www.businessinsider.com/trump-biden-maga-supporters-puerto-rico-election-2024-10,Political Disputes and Controversies,Neutral
394,Al Jazeera English,Al Jazeera,More outrage after Trump calls controversial New York rally ‘a lovefest’,"Backlash is growing from the Sunday rally, where a comedian made crude jokes about migrants and Puerto Ricans.",https://www.aljazeera.com/news/2024/10/29/more-outrage-after-trump-calls-controversial-new-york-rally-a-lovefest,Political Disputes and Controversies,Neutral
397,ABC News,"Katherine Faulders, Will Steakin, John Santucci, Alexander Mallin",Judge who tossed Trump's classified docs case on list of proposed candidates for AG,"A document circulated within Donald Trump's transition operation lists Judge Aileen Cannon, who tossed his classified docs case, as a possible AG candidate, sources say.",https://abcnews.go.com/US/judge-tossed-trumps-classified-docs-case-list-proposed/story?id=114997807,Political Disputes and Controversies,Positive
406,Al Jazeera English,Al Jazeera,Harris says Trump’s comments about women are ‘very offensive’,Vice president attacks former president after he says he will 'protect women whether they like it or not'.,https://www.aljazeera.com/news/2024/10/31/harris-says-trumps-comments-about-women-are-very,Political Disputes and Controversies,Positive
422,ABC News,Will Steakin,Republicans probing House Jan. 6 investigation dispute testimony about note,A Republican-led House panel reviewing the work of the House committee that investigated Jan. 6 has released a report that Republicans say disputes a piece of testimony.,https://abcnews.go.com/US/republicans-probing-house-jan-6-investigation-release-report/story?id=114905800,Political Disputes and Controversies,Neutral
444,Al Jazeera English,Al Jazeera Staff,Why are the Central Park Five suing Donald Trump?,The former president tried to justify calling for their execution in 1989 by falsely claiming that they had pled guilty.,https://www.aljazeera.com/news/2024/10/22/why-are-the-central-park-five-suing-donald-trump,Political Disputes and Controversies,Neutral
455,Al Jazeera English,Al Jazeera Staff,Harris pounces on Gen Kelly claim that Trump said Hitler did ‘good things’,"US vice president says the comments, which Trump denies saying, are a 'window' into who Republican candidate really is.",https://www.aljazeera.com/news/2024/10/23/harris-pounces-on-gen-kelly-claim-that-trump-said-hitler-did-good-things,Political Disputes and Controversies,Neutral
460,Al Jazeera English,Al Jazeera,13 ex-Trump officials back Kelly’s stand against Trump,The former Trump aides are 'not surprised' by Kelly's claims Trump complimented Hitler and scorned the US constitution.,https://www.aljazeera.com/news/2024/10/25/13-ex-trump-officials-back-kellys-stand-against-trump,Political Disputes and Controversies,Neutral
463,CBC News,,Biden tries to clarify confusing 'garbage' comments as Trump and his supporters cry foul,"U.S. President Joe Biden's supposed attempt to call out racist remarks by a speaker at a campaign rally for Donald Trump backfired as Trump and other Republicans accused him of calling their supporters ""garbage.""",https://www.cbc.ca/news/world/biden-garbage-comments-1.7367634,Political Disputes and Controversies,Neutral
467,The Hill,Ashleigh Fields,He threatens to sue CBS over Kamala's '60 MINS' interview...,"He threatens to sue CBS over Kamala's '60 MINS' interview... (First column, 5th story, link) Related stories:EXHAUSTION! Trump Wanders Around Stage for 17 Minutes After Audio Fails During Speech... VIDEO... 'If it goes out again, I'll…",https://thehill.com/homenews/campaign/4942021-trump-thinks-sue-cbs-60-minutes/,Political Disputes and Controversies,Negative
471,Al Jazeera English,Erin Hale,"For Taiwan’s crucial chip industry, both Trump and Harris bring risks",Taiwan’s semiconductor sector is watching US election closely amid geopolitical rivalry between Washington and Beijing.,https://www.aljazeera.com/economy/2024/10/29/for-taiwans-crucial-chip-industry-both-trump-and-harris-bring-risks,Political Disputes and Controversies,Neutral
472,Al Jazeera English,Al Jazeera,Cheney slams ‘tyrant’ Trump after he suggests she should face firing squad,"Trump says Liz Cheney might not be such a 'war hawk' if she had guns pointed at her, prompting response by ex-lawmaker.",https://www.aljazeera.com/news/2024/11/1/cheney-slams-tyrant-trump-after-he-suggests-she-should-face-firing-squad,Political Disputes and Controversies,Neutral
473,Al Jazeera English,Al Jazeera,Arizona top prosecutor investigating Trump’s comments about ‘gunfire’,Former president's comments about Liz Cheney described as 'deeply troubling'.,https://www.aljazeera.com/news/2024/11/2/arizona-top-prosecutor-investigating-trumps-comments-about-gunfire,Political Disputes and Controversies,Neutral
475,Breitbart News,"Elizabeth Weibel, Elizabeth Weibel",Former Communications Director for Kamala Harris Suggests 'Biden Should Resign',"Vice President Kamala Harris's former communications director Jamal Simmons suggested that President Joe Biden ""should resign"" in order to make Harris ""the first woman president."" The post Former Communications Director for Kamala Harris Suggests ‘Biden Shoul…",https://www.breitbart.com/politics/2024/11/10/former-communications-director-for-kamala-harris-suggests-biden-should-resign/,Political Disputes and Controversies,Negative
478,Al Jazeera English,Al Jazeera,Fact Check: Did Donald Trump ever mention ending the Affordable Care Act?,Trump says he has 'never even thought about' ending the Affordable Care Act. Is that true?,https://www.aljazeera.com/news/2024/11/5/fact-check-did-donald-trump-ever-mention-ending-the-affordable-care-act,Political Disputes and Controversies,Neutral
487,Al Jazeera English,Al Jazeera,Donald Trump attempts to recover Latino support with Pennsylvania rally,The Republican presidential candidate surrounded himself with Latino surrogates in Allentown as he weathered scandal.,https://www.aljazeera.com/news/2024/10/30/donald-trump-attempts-to-recover-latino-support-with-pennsylvania-rally,Political Disputes and Controversies,Neutral
488,Al Jazeera English,Al Jazeera,Seven killed as ferry dock collapses on US Atlantic coast off Georgia,A team of engineers and construction specialists will begin an investigation into why the gangway collapsed.,https://www.aljazeera.com/news/2024/10/20/several-killed-as-ferry-dock-collapses-on-us-atlantic-coast-off-georgia,Political Disputes and Controversies,Neutral
495,Al Jazeera English,Al Jazeera,FBI raids home of Polymarket CEO,CEO Shayne Coplan accuses Biden administration of targeting company over its perceived political associations.,https://www.aljazeera.com/economy/2024/11/14/fbi-raids-home-of-polymarket-ceo,Political Disputes and Controversies,Negative
